City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Shenzhen,CN,2021-09-17 20:09:15,22.5455,114.0683,85.21,91,4,4.07
272,Chuy,UY,2021-09-17 20:04:53,-33.6971,-53.4616,60.89,77,47,10.8
273,Acapulco,MX,2021-09-17 20:04:39,16.8634,-99.8901,84.11,75,100,5.95
274,Coahuayana,MX,2021-09-17 20:09:16,18.7333,-103.6833,86.22,73,62,5.66
275,Barra Da Estiva,BR,2021-09-17 20:09:16,-13.6261,-41.3269,77.32,31,7,10.85
276,Mikkeli,FI,2021-09-17 20:09:16,61.6886,27.2723,44.71,81,90,2.3
277,Hirara,JP,2021-09-17 20:09:17,24.8,125.2833,83.35,73,16,3.96
278,Rizhao,CN,2021-09-17 20:09:17,35.4275,119.4553,65.68,88,49,6.78
279,Cayenne,GF,2021-09-17 20:07:49,4.9333,-52.3333,86.04,79,75,4.0
280,Tres Arroyos,AR,2021-09-17 20:09:17,-38.3739,-60.2798,68.81,54,1,13.18
281,Nabire,ID,2021-09-17 20:09:17,-3.3667,135.4833,74.53,96,100,4.07
282,Puerto Escondido,MX,2021-09-17 20:09:18,15.85,-97.0667,85.19,70,39,5.93
283,Dongsheng,CN,2021-09-17 20:09:18,39.8161,109.9776,60.46,65,100,4.68
284,Varjota,BR,2021-09-17 20:09:18,-4.1944,-40.4767,96.28,22,61,7.74
285,Haimen,CN,2021-09-17 20:09:19,23.1935,116.6142,79.47,89,11,7.36
286,Ust-Ordynskiy,RU,2021-09-17 20:09:19,52.805,104.7508,39.04,88,40,4.72
287,Abu Kamal,SY,2021-09-17 20:09:19,34.4506,40.9171,83.79,33,40,9.33
288,Carballo,ES,2021-09-17 20:09:20,43.213,-8.691,62.87,91,1,2.57
289,Erzin,TR,2021-09-17 20:09:20,36.9559,36.2,76.01,68,0,2.04
290,Chicama,PE,2021-09-17 20:09:20,-7.8447,-79.1469,72.72,59,24,9.69
291,Bouca,CF,2021-09-17 20:09:21,6.5105,18.2733,71.24,94,100,2.82
292,Port-Cartier,CA,2021-09-17 20:09:21,50.0334,-66.8654,60.75,63,0,12.3
293,Luanda,AO,2021-09-17 20:05:54,-8.8368,13.2343,71.28,82,8,9.28
